 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
31,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,5297256,57810681,5280968,272315,272824,266207,259081,259081,11759081,0,11762135,262135,259081,259081,259081,259081,1509081,18009081,1512135,262135,259081,259081,259081,259081,259081,1009081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081
32,282220,282735,300760,309515,307970,330630,342990,296125,296640,284795,279130,286855,277070,274495,276555,279130,287885,295610,307455,348140,426420,338355,300760,5296125,68802286,6525525,276040,269345,262135,262135,262135,11762135,0,31265225,262135,262135,262135,262135,262135,1512135,29015225,2765225,262135,262135,262135,262135,262135,262135,1015225,265225,262135,262135,262135,262135,262135,262135,265225,265225,262135,262135,262135,262135,262135,262135
33,282220,282735,300760,309515,307970,330630,342990,296125,296640,284795,279130,286855,277070,274495,276555,279130,287885,295610,307455,348140,426420,338355,300760,296125,6534280,55041537,1526040,269345,262135,262135,262135,262135,31265225,0,19762135,262135,262135,262135,262135,262135,2765225,29015225,1512135,262135,262135,262135,262135,262135,265225,765225,262135,262135,262135,262135,262135,262135,265225,265225,262135,262135,262135,262135,262135,262135
34,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,1522315,18022824,1516207,259081,259081,259081,259081,262135,19762135,0,19759081,259081,259081,259081,259081,262135,1512135,18009081,1509081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081
35,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,1522824,18016207,1509081,259081,259081,259081,262135,262135,19759081,0,19759081,259081,259081,259081,262135,262135,1509081,18009081,1509081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081
36,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,1516207,18009081,1509081,259081,259081,262135,262135,259081,19759081,0,19759081,259081,259081,262135,262135,259081,1509081,18009081,1509081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081
37,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,1509081,18009081,1509081,259081,262135,262135,259081,259081,19759081,0,19759081,259081,262135,262135,259081,259081,1509081,18009081,1509081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081
38,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,1509081,18009081,1509081,262135,262135,259081,259081,259081,19759081,0,19759081,262135,262135,259081,259081,259081,1509081,18009081,1509081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081
39,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,259081,1509081,18009081,1512135,262135,259081,259081,259081,259081,19759081,0,19762135,262135,259081,259081,259081,259081,1509081,18009081,1512135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081
40,282220,282735,300760,309515,307970,330630,342990,296125,296640,284795,279130,286855,277070,274495,276555,279130,287885,295610,307455,348140,426420,338355,300760,296125,784280,275525,276040,269345,262135,262135,262135,1512135,29015225,2765225,262135,262135,262135,262135,262135,19762135,0,31265225,262135,262135,262135,262135,262135,1512135,55031237,6515225,262135,262135,262135,262135,262135,262135,265225,265225,262135,262135,262135,262135,262135,262135
