 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
21,2952710,2980948,2943929,2989996,2939197,2932319,2968536,2943240,2975274,2937815,2963271,2945088,3018829,2943049,3008891,3043157,2969943,2932504,3080271,2893470,5581972,0,10364646,2968979,3167889,2959356,2974817,2902950,3004910,2929376,3046025,2984024,2956231,2930400,3027349,2938871,2958131,2966411,3063989,3007858,2946692,2937175,2976427,3093468,2965528,2938353,2977383,2932940,3057409,2938978,3021165,2965116,3029786,2999985,2996911,3001019,2940731,2956142,3062458,2909785,3030385,2977828,2952928,2972145
22,2986097,3009782,2977156,3028576,2972383,2968622,3002083,2976467,3008901,2970962,2999974,2970246,3052975,2976275,3047711,3079182,2997019,2965611,3115138,2924459,3057278,10364646,0,5557290,3206993,2995939,3010042,2937295,3043651,2965640,3082051,3020927,2991217,2968261,3069564,2967225,2991558,3003114,3100254,3043442,2984753,2968723,3010054,3128494,2994161,2971540,3006176,2961213,3091996,2972125,3055231,2998582,3067250,3025823,3030701,3033329,2975516,2991126,3089015,2945808,3063014,3011455,2987834,3002497
23,2992638,3016370,2983665,3036795,2983678,2971912,3008656,2982977,3015490,2983847,3009735,2986326,3059668,2982784,3049586,3090727,3001977,2972096,3125172,2929242,3063979,2968979,5557290,0,10083390,2996090,3015033,2943708,3045511,2976910,3087201,3024338,2996159,2969944,3068283,2980109,2998108,3011278,3107052,3054897,2986477,2975216,3016644,3143353,3000711,2978041,3012757,2967690,3098777,2975423,3065105,3009935,3075564,3032452,3032525,3043170,2982017,2996069,3100585,2949041,3068124,3021240,2992760,3009069
24,3198230,3218584,3188315,3235160,3178504,3171057,3210398,3192418,3222498,3192817,3206447,3182512,3266548,3182638,3254161,3296061,3204845,3177634,3333103,3130115,3269497,3167889,3206993,10083390,0,5750571,3218845,3142329,3249613,3167831,3294137,3230220,3198556,3168854,3274038,3173100,3200740,3207989,3313803,3252843,3186566,3174598,3218858,3350631,3208136,3179257,3214736,3169796,3306656,3178001,3263521,3206409,3279957,3235846,3238880,3243839,3180037,3196867,3303430,3151329,3273878,3221856,3189890,3210811
25,2979691,3008121,2970782,3022090,2966017,2959076,2995645,2970094,3005643,2964604,2990348,2963889,3046417,2977892,3036383,3070971,2988998,2959262,3108437,2916616,3053908,2959356,2995939,2996090,5750571,0,9821648,2932615,3033937,2964091,3078633,3011263,2983212,2957125,3055000,2965660,2986742,3003076,3091994,3040112,2973578,2962365,3003601,3121760,2987747,2965174,3004525,2954871,3085350,2962573,3048689,2995357,3062266,3019328,3019419,3026818,2972346,2986318,3085573,2941112,3059636,3005002,2979846,2996058
26,2998540,3022320,2989535,3036385,2984746,2977757,3014590,2993640,3021440,2984907,3009269,2982592,3065723,2991850,3057214,3090443,3007895,2977942,3128173,2934984,3070041,2974817,3010042,3015033,3218845,9821648,0,5502492,3056318,2976356,3093311,3030302,3002061,2980576,3075951,2982767,3005616,3012409,3116405,3054527,2992354,2985864,3022593,3141594,3006620,2988697,3018699,2973528,3104920,2981276,3063151,3011057,3080045,3041637,3038509,3053971,2986281,3001972,3106716,2954831,3074194,3023994,2997048,3015003
27,2925969,2949221,2922111,2962934,2912615,2905802,2944863,2916627,2948342,2917658,2939631,2913745,2991479,2916435,2981637,3015585,2947932,2905987,3052347,2864174,2995710,2902950,2937295,2943708,3142329,2932615,5502492,0,10552648,2902891,3021648,2957027,2931088,2905514,3001532,2907529,2931359,2939574,3036224,2980636,2920047,2909027,2954289,3065414,2933961,2921360,2945688,2906455,3032905,2909233,2989085,2938310,3002341,2969696,2969850,2972264,2914150,2929400,3026799,2886688,3004570,2954091,2923055,2942080
28,3028890,3052861,3024550,3068652,3014935,3007882,3045068,3019067,3055177,3016662,3046106,3014347,3096680,3018875,3091272,3129618,3039906,3008067,3159706,2964693,3101030,3004910,3043651,3045511,3249613,3033937,3056318,10552648,0,5559628,3124492,3065701,3032410,3005876,3105375,3012924,3037595,3049246,3142984,3086954,3027401,3016023,3057928,3173255,3037001,3018888,3052404,3003621,3136228,3014630,3094044,3041470,3112697,3069142,3069177,3076745,3016471,3032320,3133201,2984732,3105216,3060927,3030530,3050274
29,2952652,2979292,2943870,2993133,2939137,2932260,2968478,2943181,2975215,2937756,2963212,2937039,3018769,2942989,3008832,3046294,2961894,2935641,3080212,2890215,3027826,2929376,2965640,2976910,3167831,2964091,2976356,2902891,5559628,0,10602040,2983965,2964162,2930341,3027289,2934019,2959670,2966352,3063931,3009396,2946633,2940311,2976368,3093408,2960675,2938294,2977325,2928087,3057350,2938919,3016310,2969850,3036119,2991937,2993656,3000960,2940672,2964072,3056007,2909726,3027129,2977769,2949674,2972086
30,3076781,3099442,3061063,3112230,3057792,3049045,3086759,3060375,3098562,3059471,3081357,3053960,3139090,3064976,3128745,3164371,3079903,3054024,3202981,3005232,3143489,3046025,3082051,3087201,3294137,3078633,3093311,3021648,3124492,10602040,0,5661337,3077105,3046990,3147881,3050939,3075945,3084497,3189215,3127575,3063962,3055634,3094921,3216722,3078548,3055351,3090947,3046334,3179168,3057438,3141153,3083065,3152055,3115963,3112753,3118867,3057729,3073819,3176090,3028755,3147722,3096323,3067138,3090367
31,3007811,3036433,3001971,3048932,2993977,2986972,3023894,3001281,3035554,2992532,3018566,2991815,3079939,2997894,3065015,3112706,3017182,2990353,3139338,2944095,3079472,2984024,3020927,3024338,3230220,3011263,3030302,2957027,3065701,2983965,5661337,0,10432297,2984990,3086989,2993588,3013296,3026498,3125932,3063918,3001601,2993490,3031912,3154391,3015899,2996330,3029609,2989127,3120824,2993695,3074157,3029932,3089493,3052595,3052653,3055355,2995512,3011242,3111425,2963990,3083634,3036509,3006305,3024306
32,2986154,3004997,2970854,3017367,2970882,2959147,2998912,2970164,3007312,2969469,2993615,2963959,3046488,2973169,3041248,3075837,2989070,2959332,3108507,2916686,3050783,2956231,2991217,2996159,3198556,2983212,3002061,2931088,3032410,2964162,3077105,10432297,0,5511557,3055072,2962535,2990010,3001549,3092065,3035389,2973648,2962436,3003671,3121831,2987818,2965246,2999801,2954942,3087019,2964241,3043965,2992231,3057542,3019399,3021088,3026889,2967623,2987987,3085644,2939585,3056510,3005073,2976720,2996129
33,2956871,2980316,2944894,2990961,2940161,2933284,2969501,2944205,2981033,2938780,2964236,2938063,3019793,2944013,3009856,3044122,2967712,2933469,3081237,2891240,3024056,2930400,2968261,2969944,3168854,2957125,2980576,2905514,3005876,2930341,3046990,2984990,5511557,0,10389026,2936640,2965488,2967376,3068150,3013616,2947657,2936542,2977392,3099226,2961699,2950504,2973554,2929111,3066365,2936747,3017335,2966080,3030751,2992960,2996278,3005180,2941696,2957106,3055433,2910750,3028153,2978793,2950697,2969914
34,3051550,3082083,3042305,3089996,3037456,3030347,3067840,3041616,3074810,3035960,3062459,3043232,3121470,3041424,3109587,3145013,3064221,3032130,3183403,2986794,3129045,3027349,3069564,3068283,3274038,3055000,3075951,3001532,3105375,3027289,3147881,3086989,3055072,10389026,0,5586277,3057088,3065599,3171335,3108437,3045185,3033720,3080757,3200262,3062886,3039809,3073608,3030852,3166122,3038721,3121976,3064187,3131178,3096906,3093716,3107759,3038991,3058178,3158271,3010197,3130062,3077365,3048340,3073047
35,2957416,2980909,2948604,2994781,2947058,2941763,2973274,2947914,2980028,2942474,2972795,2941756,3023686,2947724,3015323,3049669,2966675,2938752,3085273,2894820,3027958,2938871,2967225,2980109,3173100,2965660,2982767,2907529,3012924,2934019,3050939,2993588,2962535,2936640,5586277,0,9854267,2971142,3068951,3012683,2951374,2940234,2981181,3101698,2965448,2943019,2977336,2932788,3067149,2943636,3033996,2973033,3036266,2996791,3001697,3007427,2945398,2965641,3059406,2914379,3032062,2982582,2959216,2973688
36,2983292,3010148,2977563,3024134,2968000,2961052,2997664,2972080,3004474,2969779,2992363,2969062,3048496,2971888,3041647,3073077,2995803,2961236,3110588,2918538,3052795,2958131,2991558,2998108,3200740,2986742,3005616,2931359,3037595,2959670,3075945,3013296,2990010,2965488,3057088,9854267,0,5549786,3094125,3037382,2978764,2964344,3010421,3128721,2989754,2971953,3001753,2956842,3087473,2964550,3045967,3003759,3059562,3024573,3024657,3030472,2974329,2985125,3084496,2941461,3058526,3007028,2978644,2998078
37,2991637,3013746,2981081,3027763,2981099,2969340,3012432,2983588,3014464,2974879,3000732,2974162,3060188,2980200,3046922,3081630,2999369,2972720,3122424,2926723,3061299,2966411,3003114,3011278,3207989,3003076,3012409,2939574,3049246,2966352,3084497,3026498,3001549,2967376,3065599,2971142,5549786,0,10280743,3045845,2983888,2980630,3017215,3142187,2998106,2975461,3010137,2965122,3099254,2972848,3054446,3005728,3071279,3029807,3029885,3042115,2977840,2993470,3093073,2946497,3065440,3020214,2986973,3006453
38,3091741,3125733,3079123,3127429,3074230,3067033,3105011,3086424,3112068,3072690,3104379,3071973,3165692,3078242,3147285,3186348,3098107,3072013,3223623,3022908,3165322,3063989,3100254,3107052,3313803,3091994,3116405,3036224,3142984,3063931,3189215,3125932,3092065,3068150,3171335,3068951,3094125,10280743,0,5703432,3083645,3072049,3116417,3235864,3096728,3073388,3109223,3062700,3202837,3075452,3158119,3101270,3170738,3129591,3135943,3142131,3080559,3091975,3194943,3048173,3166383,3117818,3085246,3105424
39,3031868,3055864,3022719,3079661,3017895,3010833,3048062,3022030,3054985,3016421,3042705,3015706,3099734,3021838,3095912,3129501,3041295,3014214,3167627,2967592,3104089,3007858,3043442,3054897,3252843,3040112,3054527,2980636,3086954,3009396,3127575,3063918,3035389,3013616,3108437,3012683,3037382,3045845,5703432,0,10501152,3014182,3059333,3179593,3039984,3017051,3057001,3006568,3139329,3014389,3097091,3047654,3110968,3076959,3072195,3082971,3019430,3035299,3141088,2989253,3108278,3057538,3028707,3048475
40,2970127,2993691,2961267,3007612,2959709,2952792,2987631,2960577,2992811,2955112,2980748,2954396,3036625,2960385,3028226,3069087,2979410,2949781,3100026,2907291,3042506,2946692,2984753,2986477,3186566,2973578,2992354,2920047,3027401,2946633,3063962,3001601,2973648,2947657,3045185,2951374,2978764,2983888,3083645,10501152,0,5507135,2993964,3114900,2981367,2960464,2990107,2945403,3081818,2957874,3034126,2982572,3047643,3014426,3009734,3026687,2959646,2973558,3072465,2930118,3045025,2998561,2967109,2986446
41,2963710,2982407,2950102,2996280,2945361,2938468,2974773,2949413,2981527,2943972,2969500,2946451,3025185,2949221,3015223,3049571,2968174,2941849,3093165,2896319,3032652,2937175,2968723,2975216,3174598,2962365,2985864,2909027,3016023,2940311,3055634,2993490,2962436,2936542,3033720,2940234,2964344,2980630,3072049,3014182,5507135,0,10342940,3100000,2966947,2944518,2978835,2937483,3068649,2946733,3022710,2979326,3036168,3006280,2998402,3005731,2951690,2962347,3060905,2915879,3033561,2984081,2959117,2975186
